recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Cajun Quorn Mince with Couscous & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,502,503,0,35.2,39,61.5,64,12.3,11,""
"Indian-spiced Cottage Cheese with Wholewheat Pasta & Peas","20260702000001_seed_owner_meals.sql",apply,2,511,620,21,30.4,37.2,64.1,85.6,16.9,15,""
"Garlic & chilli Mackerel with Wholewheat Tortilla Wrap & Carrots","20260702000001_seed_owner_meals.sql",apply,2,685,665,-3,45.2,43.9,42.4,42.2,35.6,35.6,""
"Asian-inspired Quorn Mince with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,474,513,8,35.8,42.1,49.5,47.6,14.7,18.4,""
"Mexican-style Paneer with Couscous & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,758,816,8,41.7,47.8,52.6,57.4,42.5,43.1,""
"Asian-inspired Cooked Lentils with Wholewheat Tortilla Wrap & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,524,538,3,27.2,27.9,78.4,73.5,11.3,16.4,""
"Mexican-style Seitan with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,629,558,-11,54.4,59.5,66.8,48.7,12.4,14.1,""
"Moroccan-spiced Quorn Mince with Couscous & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,500,492,-2,35.8,39.7,61.4,61.7,11.8,10.4,""
"BBQ Turkey Breast with Wholewheat Tortilla Wrap & Courgette","20260702000001_seed_owner_meals.sql",apply,2,559,469,-16,63.2,52.3,42.4,33.9,13.3,13.2,""
"Mexican-style Paneer with Couscous & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,797,858,8,43,49.9,54.6,59,46,46.8,""
"Lemon herb Turkey Breast with White Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,480,501,4,58.2,54.1,43,53.9,6.6,7,""
"Peri-peri Cooked Lentils with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,440,440,0,21.8,25.2,67.6,67.8,9.5,9.8,""
"Mexican-style Firm Tofu with White Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,487,484,-1,37.6,38.7,41.8,43.7,20.4,20.4,""
"Asian-inspired Lean Beef Mince (5%) with Quinoa & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,649,839,29,60.4,60.3,48.4,51,22.4,42.3,""
"Cajun Quorn Mince with White Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,417,468,12,31.2,37.8,52,62.2,9.3,8.2,""
"Mediterranean Lean Beef Mince (5%) with White Basmati Rice & Peas","20260702000001_seed_owner_meals.sql",apply,2,629,845,34,57,60.8,54.2,71.5,17.2,32,""
"Garlic & chilli Lean Beef Mince (5%) with Rye Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,586,779,33,57.8,56.9,38.5,52.5,21.1,36.4,""
"Mediterranean Tuna Steak with Bulgur Wheat & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,477,441,-8,61.4,55.2,41.4,44.5,6.7,5.6,""
"Peri-peri Paneer with Butter Beans & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,734,773,5,49.4,50.7,40.3,44.2,44.6,44.1,""
"Mediterranean Haddock Fillet with Rolled Oats & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,407,357,-12,42.6,35.2,28,29,10.9,10.9,""
"Asian-inspired Cottage Cheese with Wholegrain Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,469,551,17,30.9,38.8,46.8,57.8,16.5,18.5,""
"BBQ Tuna Steak with White Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,387,358,-7,49.5,45.2,29.7,32,6.1,5.2,""
"Italian herb Pork Tenderloin with Brown Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,477,504,6,45.4,48.6,41.1,46.1,12.6,14.3,""
"Mediterranean Tempeh with White Basmati Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,566,582,3,34.6,39.4,57.5,60.6,23.4,23.8,""
"Mediterranean Black Beans with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,442,440,-0,23.9,25.1,73.9,75.2,7.2,7.2,""
"Lemon herb Cooked Lentils with Rolled Oats & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,376,384,2,20.1,22.1,54.4,58.1,8.7,8.8,""
"Cajun Cooked Lentils with Rolled Oats & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,375,387,3,19.6,21.9,54.6,58.7,8.7,9.1,""
"Lemon herb Mackerel with Sweet Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,526,518,-2,31.7,32.4,37.6,37.7,27,27.3,""
"Teriyaki Salmon Fillet with Rye Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,542,654,21,45.3,42.2,30.5,50,27.5,30.7,""
"Teriyaki Tempeh with Rye Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,493,608,23,36.9,43.5,41.7,58.8,22,25.5,""
"Cajun Whole Eggs with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,477,506,6,28,32.8,33.7,40.6,25.1,24,""
"Peri-peri Cod Fillet with Sweet Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,382,346,-9,39.9,34.7,36.4,37.4,7.2,7.3,""
"BBQ Cottage Cheese with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,423,402,-5,25.1,27,43.1,45.5,15.8,13.1,""
"Italian herb 0% Greek Yogurt with Soba Noodles & Carrots","20260702000001_seed_owner_meals.sql",apply,2,333,349,5,25.4,27.1,43.3,49,7.1,7,""
"Teriyaki Tuna Steak with Couscous & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,460,474,3,51.7,47.4,41.1,49.3,8.3,9.2,""
"Mediterranean Lean Beef Mince (5%) with Wholewheat Pasta & Courgette","20260702000001_seed_owner_meals.sql",apply,2,534,698,31,48.5,49.1,44.5,51.7,19.2,32.1,""
"Lemon herb Tempeh with Brown Rice & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,552,571,3,34.4,38,54.5,58.6,24.3,24.8,""
"Garlic & chilli Black Beans with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,433,501,16,20,27,65.5,75.2,9.9,12,""
"Garlic & chilli Lamb Leg with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,466,491,5,41.9,44.3,25.6,28.4,21.6,23.4,""
"Peri-peri Tempeh with White Basmati Rice & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,564,572,1,35.1,38,57.6,60,23,23.2,""
"BBQ Quorn Mince with Wholewheat Tortilla Wrap & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,411,405,-1,29,30.6,41,40.4,14.4,13.9,""
"Mediterranean Firm Tofu with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,412,427,4,29.9,33.1,28.6,31.4,21.6,22.7,""
"Moroccan-spiced 0% Greek Yogurt with White Basmati Rice & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,343,354,3,22.1,24,47.1,52.1,5,5.2,""
"Mexican-style Salmon Fillet with Wholegrain Bread & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,558,612,10,46.4,46.3,32,39.5,28.1,29.4,""
"BBQ Haddock Fillet with Couscous & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,403,361,-10,37.2,32.4,38.5,38.4,8.2,8.2,""
"Moroccan-spiced Whole Eggs with Brown Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,497,515,4,25.4,26.2,42.7,53.5,24.3,22.4,""
"Moroccan-spiced Egg Whites with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,268,283,6,22.1,25.3,28.1,30.1,6.1,7.6,""
"Teriyaki 0% Greek Yogurt with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,287,345,20,20,22.2,39.9,50.7,4.5,6.7,""
"Peri-peri Haddock Fillet with Soba Noodles & Peas","20260702000001_seed_owner_meals.sql",apply,2,380,402,6,40.9,39.6,40.5,51.6,5.1,5,""
"Indian-spiced Cottage Cheese with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,360,363,1,21.9,23.2,37.1,45,13.1,10.7,""
"Moroccan-spiced Pork Tenderloin with White Basmati Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,453,486,7,44.7,45.9,42,53.4,8.2,8.3,""
"Garlic & chilli Edamame with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,417,468,12,23,29.7,44.5,52,16.6,17.8,""
"Moroccan-spiced King Prawns with Brown Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,413,419,1,41.9,38.9,41.3,49.4,8.3,9.1,""
"Mediterranean Turkey Breast with Soba Noodles & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,447,435,-3,53.9,47.5,37.9,44.7,8.7,8.6,""
"Indian-spiced Egg Whites with Sweet Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,294,311,6,18.9,22.2,35.1,36.3,7.5,9.4,""
"Italian herb Tuna Steak with Wholewheat Tortilla Wrap & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,452,435,-4,50.3,44.7,34.6,38.7,11.4,11.1,""
"Mediterranean Egg Whites with Couscous & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,329,350,6,24.2,25.5,44.6,51.3,4.3,4.5,""
"Mediterranean Pork Tenderloin with Soba Noodles & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,446,452,1,48.4,50.8,40.5,42.9,9.4,9.5,""
"Garlic & chilli Chicken Breast with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,472,497,5,51.9,53.2,36.4,44,11.6,11.8,""
"Mediterranean 0% Greek Yogurt with Bulgur Wheat & Peas","20260702000001_seed_owner_meals.sql",apply,2,311,372,20,22,28.1,39.8,51.8,7.4,7.9,""
"Garlic & chilli Tuna Steak with White Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,410,376,-8,48.5,43.2,32,33.1,8.6,7.7,""
"Moroccan-spiced Cod Fillet with Wholewheat Tortilla Wrap & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,420,417,-1,42.9,36,33.5,41.6,11,11.9,""
"Moroccan-spiced 0% Greek Yogurt with Wholewheat Pasta & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,358,408,14,25,27.2,54.9,63.2,6,6.8,""
"Mexican-style Cooked Lentils with Butter Beans & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,410,398,-3,26.4,25.5,62,60.8,7.8,8.1,""
"Cajun 0% Greek Yogurt with White Basmati Rice & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,368,379,3,21.5,23.6,49.4,53.9,7.5,8,""
"Teriyaki Cottage Cheese with Butter Beans & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,379,382,1,29.5,28.2,37.2,42.6,13.2,12.1,""
"Garlic & chilli Pork Tenderloin with White Basmati Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,485,505,4,43.8,47.1,45.1,51,11.7,12.1,""
"Mediterranean Mackerel with Wholewheat Pasta & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,591,641,8,38.9,41.2,47,54.1,29,30,""
"Indian-spiced Whole Eggs with Brown Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,474,495,4,26.4,27.4,40.3,50.4,21.8,20.3,""
"Cajun Mackerel with White Potato & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,480,491,2,33.2,35.3,30,34.1,23.5,24,""
"Mediterranean Firm Tofu with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,460,514,12,35,41,34.9,45.8,21.6,22.2,""
"Mediterranean Chicken Breast with Sweet Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,433,433,0,50.6,53,34.5,35.8,8.1,8.3,""
"Mexican-style Chicken Breast with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,448,453,1,52.6,56.2,24.6,24.8,13.5,14.2,""
"Cajun Lamb Leg with Butter Beans & Carrots","20260702000001_seed_owner_meals.sql",apply,2,497,516,4,48.8,46.8,33.1,36.4,20.3,21.8,""
"Lemon herb Cod Fillet with White Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,369,329,-11,39.5,33.5,32,31.6,7.7,7.9,""
"Indian-spiced Chicken Breast with Wholegrain Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,469,582,24,56,65.7,29.7,47.8,11.5,12.9,""
"Garlic & chilli Turkey Breast with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,323,336,4,40.4,37.2,21.4,23.7,6.5,9.7,""
"Mexican-style 0% Greek Yogurt with Rolled Oats & Peas","20260702000001_seed_owner_meals.sql",apply,2,242,305,26,16.5,22.7,21.1,32,9.7,10.5,""
"Mediterranean Salmon Fillet with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,444,439,-1,36.1,31,27.1,28.1,21.8,22,""
"Indian-spiced 0% Greek Yogurt with Quinoa & Kale","20260702000001_seed_owner_meals.sql",apply,2,280,386,38,19.3,26.6,28.1,32.4,9.5,18.9,""
"Garlic & chilli Salmon Fillet with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,371,417,12,34,33.7,14.2,16.1,19.9,23.4,""
"Asian-inspired Whole Eggs with Quinoa & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,387,458,18,20.1,21.7,26.6,28.5,22.2,29.6,""
"Asian-inspired Cottage Cheese with Quinoa & Courgette","20260702000001_seed_owner_meals.sql",apply,2,300,398,33,16.7,18.6,24.9,25.7,13.7,24.8,""
"Cajun 0% Greek Yogurt with Quinoa & Courgette","20260702000001_seed_owner_meals.sql",apply,2,252,310,23,19.3,24.9,25.3,25.7,7,12.5,""
"Mediterranean Cottage Cheese with Quinoa & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,327,396,21,20.5,25.8,27.9,32.2,14.2,19.6,""
"Teriyaki Turkey Breast with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,347,447,29,39.1,37.7,23.2,30.7,10,20.4,""
"Mexican-style 0% Greek Yogurt with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,283,371,31,18.5,22.9,28.3,31.9,10.1,18.7,""
"Cajun 0% Greek Yogurt with Sweet Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,256,362,41,16.3,22.8,27.5,32.1,8.7,18.5,""
"Mexican-style Cottage Cheese with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,295,396,34,19.2,27.7,28,48.2,10.9,10.9,""
"Indian-spiced Cottage Cheese with Sweet Potato & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,291,319,10,15.5,19.4,28.6,31.7,12.7,14.8,""
"Peri-peri Salmon Fillet with Wholegrain Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,445,652,47,36.4,42.7,20.8,44.1,24.8,34.6,""
"Teriyaki Turkey Breast with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,331,444,34,39.9,40.4,16.9,25.9,10.4,21.4,""
"BBQ Whole Eggs with Rolled Oats & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,357,341,-4,20.1,22.6,18.1,17.2,22.4,21,""
"BBQ Salmon Fillet with Quinoa & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,462,550,19,36.5,36.6,24,26.4,25.2,33.6,""
"Mediterranean Egg Whites with Sweet Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,247,334,35,17.5,21.4,24,28.1,8.4,16.7,""
"BBQ Salmon Fillet with Sweet Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,432,513,19,35,33.7,23,25.9,23.2,30.9,""
"Asian-inspired Salmon Fillet with Wholegrain Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,442,717,62,37.2,43.5,20.6,49,24.2,38.7,""
"Italian herb 0% Greek Yogurt with Rolled Oats & Carrots","20260702000001_seed_owner_meals.sql",apply,2,192,248,29,16,19.6,18.5,24.8,4.8,8.1,""
"Indian-spiced Cottage Cheese with Rolled Oats & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,289,294,2,17.7,19.2,20.8,28.1,14.4,12.5,""
"Garlic & chilli 0% Greek Yogurt with Quinoa & Carrots","20260702000001_seed_owner_meals.sql",apply,2,272,337,24,16.5,18.7,29.6,39.1,9.5,13.5,""
"BBQ Salmon Fillet with Sweet Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,433,434,0,33.8,28.8,23.2,25.2,23.8,24.1,""
"Mexican-style Turkey Breast with Sweet Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,343,410,20,39.2,39.3,23.3,27.2,9.4,17.7,""
"Asian-inspired Cottage Cheese with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,311,458,47,19.2,27.8,24.8,45.6,14.4,19,""
"Garlic & chilli Salmon Fillet with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,460,469,2,36.1,32.4,24,26.9,25.2,25.6,""
"Cajun Egg Whites with Quinoa & Courgette","20260702000001_seed_owner_meals.sql",apply,2,244,302,24,20.5,25.7,21.8,22.2,6.7,12.2,""
"Lemon herb Whole Eggs with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,368,436,18,20.6,25.1,24.3,26.6,20.8,26.8,""
"Garlic & chilli Salmon Fillet with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,371,421,13,34,31.6,14.2,18.8,19.9,23.4,""
"Garlic & chilli 0% Greek Yogurt with Rolled Oats & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,242,257,6,16.5,19.1,21.1,26.1,9.7,9.8,""
"Peri-peri Salmon Fillet with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,444,453,2,36.1,32.7,27.1,30.5,21.8,22.1,""
"Lemon herb Salmon Fillet with Wholegrain Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,414,611,48,37.2,42.8,17.8,43.5,21.7,28.4,""
"Mexican-style Turkey Breast with Wholegrain Bread & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,339,446,32,40.8,43.5,23.9,47.1,7.6,9.7,""
"Mediterranean Cottage Cheese with Rye Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,402,604,50,26.8,37.5,36.4,66.7,15.9,21.8,""
"BBQ Black Beans with Couscous & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,491,570,16,23.3,27.6,80.2,82.4,8.6,16.3,""
"Teriyaki Haddock Fillet with Wholewheat Pasta & Courgette","20260702000001_seed_owner_meals.sql",apply,2,431,549,27,41.6,36.8,44.5,55.6,9.6,20.4,""
"Mexican-style Lamb Leg with Bulgur Wheat & Courgette","20260702000001_seed_owner_meals.sql",apply,2,527,544,3,47.2,48.8,35.1,35.6,22.8,25.1,""
"Mexican-style 0% Greek Yogurt with Rolled Oats & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,288,364,26,19.6,23.5,27.8,28.2,9.7,18.6,""
"Asian-inspired Turkey Breast with Wholewheat Pasta & Kale","20260702000001_seed_owner_meals.sql",apply,2,500,581,16,56.9,52.8,50.8,58.7,8.7,16,""
"Mexican-style Tuna Steak with Rye Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,430,547,27,51.8,48.1,28,44.3,10.6,19.2,""
"Moroccan-spiced Turkey Breast with Couscous & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,469,502,7,55.9,52.2,38.7,42.7,7.7,12.9,""
"BBQ Turkey Breast with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,459,418,-9,51.4,44.3,37.2,36.2,10.6,10.9,""
"Mexican-style Tempeh with Soba Noodles & Kale","20260702000001_seed_owner_meals.sql",apply,2,568,672,18,40.9,49.2,53.2,55.5,25.6,34.7,""
"BBQ Paneer with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,640,752,18,31.2,35.6,35.9,38.5,42.4,50.7,""
"Teriyaki Haddock Fillet with White Basmati Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,405,457,13,39.8,38.2,42.1,51.7,4.6,9.9,""
"Mediterranean Paneer with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,686,871,27,39,51,34.4,49.5,44.8,53.2,""
"Mediterranean Tuna Steak with Brown Rice & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,495,572,16,53.3,50.3,41.7,52.7,11.5,18.9,""
"Moroccan-spiced Pork Tenderloin with Soba Noodles & Kale","20260702000001_seed_owner_meals.sql",apply,2,491,594,21,52.7,59.7,38.5,43.5,13.6,22.3,""
"Moroccan-spiced Lamb Leg with White Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,517,683,32,46.8,56,32.5,47.1,22.1,31.6,""
"BBQ Edamame with Butter Beans & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,446,424,-5,30.7,32,48.7,43.3,16.9,17.1,""
"Cajun Cooked Lentils with Couscous & Peas","20260702000001_seed_owner_meals.sql",apply,2,440,573,30,20.1,25.8,70.5,81.6,7.9,16.6,""
"Garlic & chilli Seitan with Rye Bread & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,549,658,20,49.2,55.8,53.4,62.1,12.2,20.8,""
"Peri-peri Haddock Fillet with White Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,379,374,-1,37.6,32.1,34,35.9,8.6,12.4,""
"Moroccan-spiced Tuna Steak with Brown Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,465,507,9,54.1,53.6,38.7,44.6,8.4,12.6,""
"Mexican-style Seitan with Couscous & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,584,592,1,48.9,53.8,64.2,51.3,11,19,""
"Asian-inspired Whole Eggs with Soba Noodles & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,508,625,23,31.3,37.9,40.6,43.1,25.6,35.9,""
"Peri-peri Pork Tenderloin with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,422,489,16,45.2,46.3,22,23,14.7,22.9,""
"Peri-peri Cod Fillet with Rye Bread & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,387,491,27,42.2,37.1,28,42.4,9.6,19,""
"Italian herb Firm Tofu with Sweet Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,473,562,19,33.3,38.2,40.2,46.6,22.1,29.4,""
"Garlic & chilli Egg Whites with Bulgur Wheat & Peas","20260702000001_seed_owner_meals.sql",apply,2,324,480,48,25.3,34,36.2,51.9,8.7,17.3,""
"Mexican-style Cooked Lentils with White Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,366,428,17,19.5,23.1,62.1,68.9,3.9,7.6,""
"Indian-spiced Cooked Lentils with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,447,592,32,24.6,34.6,64.5,76.7,10.2,19.1,""
"Indian-spiced Edamame with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,437,436,-0,22.6,25.9,53.2,51.2,16.3,17.2,""
"Garlic & chilli Whole Eggs with Wholegrain Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,510,653,28,31,39.3,34.3,51.5,27.2,33.2,""
"Indian-spiced Cooked Chickpeas with Rye Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,506,677,34,23,28.7,74.5,95.1,13.2,22.5,""
"Mediterranean Haddock Fillet with Rolled Oats & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,352,394,12,37.2,32.6,22,25.7,10.1,18.3,""
"Cajun Seitan with Soba Noodles & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,567,500,-12,49.9,52.3,61.1,49.1,11.8,11.7,""
"Indian-spiced Tempeh with Brown Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,580,641,11,35.3,41,57.4,61.7,26.5,31.1,""
"Garlic & chilli Whole Eggs with Wholewheat Tortilla Wrap & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,518,565,9,27.8,30,37.3,44,28.6,31,""
"Asian-inspired 0% Greek Yogurt with Rye Bread & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,338,542,60,24.5,31,37.1,55,9.6,23.6,""
"Mexican-style Cottage Cheese with Quinoa & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,435,435,0,26.8,28.2,47.2,54.9,14.4,11.7,""
"Asian-inspired 0% Greek Yogurt with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,344,454,32,29.7,31.5,38.6,38.9,8.9,21.2,""
"Italian herb Seitan with Bulgur Wheat & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,493,452,-8,46.8,52,54.9,39.5,6.7,10,""
"Cajun Lean Beef Mince (5%) with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,544,737,35,53.6,58.6,35.7,39.3,19,37.3,""
"Lemon herb Tempeh with Butter Beans & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,550,573,4,41.9,42.8,48.4,46.6,25.9,29.5,""
"Indian-spiced Whole Eggs with Rye Bread & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,478,547,14,28.8,32.5,36.1,53,23.8,23.2,""
"Teriyaki Lamb Leg with White Basmati Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,575,698,21,45.1,49.2,46,58,22.4,31.2,""
"Moroccan-spiced Firm Tofu with Wholegrain Bread & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,466,588,26,33.7,40.8,32.7,42.2,23.5,32,""
"Italian herb Cooked Chickpeas with Soba Noodles & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,578,614,6,26,29,94.9,96.8,12.7,16.2,""
"Italian herb 0% Greek Yogurt with Bulgur Wheat & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,341,403,18,27.3,32.7,44.2,47.2,6,11.3,""
"Asian-inspired Cottage Cheese with Couscous & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,476,504,6,29.2,30.9,57.8,62,12.8,14.7,""
"Mexican-style Pork Tenderloin with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,547,661,21,57.7,65.8,37.9,45.3,16.3,24.8,""
"Peri-peri Mackerel with Butter Beans & Kale","20260702000001_seed_owner_meals.sql",apply,2,621,682,10,46.8,46,34.6,32.3,32.9,42.1,""
"Italian herb Tuna Steak with Quinoa & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,539,573,6,63.9,60.5,42,47.6,10.7,14.3,""
"Cajun Quorn Mince with White Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,430,502,17,32,37,46.9,50,13.1,19.1,""
